Name,Calcium,Carbohydrate,Cholesterol,Energy,Fat,Folate,Iron,Magnesium,Niacin,Phosphorus,Potassium,Protein,Riboflavin,Saturated fatty acids,Sodium,Thiamin,Total Fiber,Trans fatty acids,Vitamin A,Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Zinc
5 Minute Gluten Free Wonder Buns,312.85469791700376,21.756276041610537,186.0,284.403062498463,15.351744791571784,32.5166666666812,3.443770833341742,61.93877083410092,0.7804619791656158,442.723210416225,281.8906416699014,13.04969583325806,0.2540005208334311,2.8141203124944245,255.92295625010289,0.1121601562498387,4.519933333297363,0.0192012499999965,80.0,0.445,0.206121770834945,0.1207499999979585,1.0,0.5483958333333787,0.1723958333344692,1.5138240625022696
Almond and cranberry shortbread,45.33790011642438,28.717490671487475,65.63800043344499,328.0149502919244,21.144235858184658,15.42372507486965,0.8003913353270208,39.93316674196781,0.7189590676354242,98.0234586209814,130.017275237388,5.303773345547599,0.1706151754062159,9.362543754905689,4.477341691214486,0.0559661417925363,2.4664875027194304,0.0019943750051315,126.87160015290976,0.081420000782609,0.0421887085118537,1.933450005882818,0.1454400021672248,3.869388007486242,1.81585333361427,0.618936251732826
Apple Roasted Pork Loin,54.54002695121722,45.10662067344589,142.90499702095985,697.5992833306569,35.6336460740459,3.4023210671567057,2.2434762063828164,55.52583510114009,10.588920502565706,464.30575411054,970.7620348217204,45.37952640438003,0.6055175059851772,10.881240628947245,195.67099569109743,2.0665534574908166,3.1536321161004213,0.0,9.84658324352652,1.2022166416049005,1.1325397480238728,2.0050260943168934,1.134166643023491,1.637063323501945,7.772833345651627,4.102994769193929
Baked Oatmeal with Dried Cranberries,160.3985988770545,22.04900126380621,35.546666931509975,161.15139851518353,3.674522214293904,27.06546005729711,1.8575972834018748,63.90957782580879,0.5156070322431067,288.9357336561058,262.759285217369,6.5080448372679935,0.1184065126817418,0.8006838853593736,180.39119858248816,0.2554474076293559,4.726211189014014,0.0040199724111032,20.16426990755672,0.0850444450780749,0.1608890890401266,4.145720074886083,0.1911111125349998,0.9818574572861772,1.0150333595000207,1.325134632995891
Beef Braised In Red Wine,50.44328850928692,4.528290741382668,118.23533056259156,364.1138148692045,16.18452354662706,15.722445483682082,5.332533142495113,57.80986476671567,8.646996368828539,449.3442638151908,890.565093335681,38.6689473274623,0.4036126901779715,5.68636463717471,557.3997080893819,0.2142787203700419,1.1547781250042568,0.4410456150209903,79.53128481801294,4.596198558211326,1.0969204252585318,5.366140625022737,0.0566990013122558,0.7983645375987827,8.115343640935336,11.799189256306796
Beef Cottage Pie,86.65822203511067,15.79819378026484,43.49787435994079,272.1010542152775,14.98862638300752,30.2376056802158,2.561194076914765,38.54304205681943,3.779759780771531,188.0690789390756,571.6932448919242,14.958814432583903,0.1775606286128871,5.340874843368287,486.3518350014269,0.143142390527771,3.5450217183296733,0.6824707154846191,127.45231256882592,1.2842348465242082,0.4147858916187616,16.547605525445334,0.0741255149838362,0.530053087161913,5.697580113647614,3.1705985202372293
"Beer Can Chicken, Country Style Vegetables with Roasted Garlic",311.3672414194782,52.220247565769625,225.0,1070.6432956034485,61.94919834645604,64.25118341574368,7.036179077962292,148.28382732646057,23.33900328201808,733.4344840240531,1543.412710540838,67.52299231719994,0.632792469568898,15.28861272233584,1412.7488087819422,0.5832154302520905,8.956953888448274,0.291,222.3225,0.947009700012207,2.909759459238718,127.0295893188726,0.6000000000000001,4.408741318766372,35.39732437795003,6.091778763783805
Bittersweet chocolate pudding,118.60889315882704,26.241942810879863,45.224799925002266,204.70993800677385,9.211846376717526,12.291066083149518,2.1659801894866435,81.0313806076139,0.3974590362733344,191.38164161668385,341.0753400363204,6.402181596585827,0.2144954336696827,5.331852634134271,98.74596999035376,0.0529457411185392,5.327333216428351,0.0027233334144949,82.4280759116599,0.449295949363983,0.0596179424421649,0.0,1.2337905184722593,0.258113596987714,0.9628106340501548,1.387332537850337
Blackberry Pie With Lemon Verbena Whip Cream,66.83857054426183,36.54955486509325,56.42760472580492,534.8071201068651,39.3175066602092,95.1627838774747,2.152261438699163,27.99729082086456,2.9609440632286423,86.56953981421533,226.76658339700148,6.8587767231245405,0.2536138365587899,15.835288605995164,167.25565300995785,0.2785931550799758,5.0487911870304965,0.0,150.56759012466966,0.0985844589194158,0.0716791142337406,30.200751321698423,0.2885113766503334,1.5088362525770922,22.510092145167324,0.7863313165626591
Broccolini Quinoa Pilaf,231.3720361938892,66.65071453636273,0.0,681.642793797851,31.650607613008745,384.6157268930528,7.126902848232976,283.39270561558675,3.644489418667042,702.7924829781995,1639.762505212866,25.47073867366589,0.6848085940668837,3.646508347552424,142.8228794105018,0.6419771585893753,16.560173859532135,0.0,103.1998745755256,0.0001377659155086,1.1704306777152396,275.5890846058175,0.0008252426362711,5.651276279933394,318.553433365967,4.879278167363435
Chocolate Banana Zucchini Cake,97.50305166800986,100.34675354399631,77.003125,586.6059416864124,18.770992709592985,108.27180093804648,3.4584741553397067,66.24278073399624,2.276501211580489,162.91672875554332,362.5339109528389,7.071388187676388,0.2719374135454493,10.995989438247388,365.5746232296282,0.2758657828148138,4.334805489831063,0.00475,119.026375,0.13536875,0.1485615890639699,4.0327375,0.25,0.6135510187609201,2.919526750235165,1.11519102715135
Chocolate Hazelnut Mousse,144.61321488950807,40.91674865287045,100.25738698369312,763.1926396325732,62.86986445086595,51.41605899040461,3.897613359094816,102.7088912238757,1.1860814527389942,230.20102460365604,518.7960555174059,9.69135908562724,0.2517275101169852,32.353904420362895,100.47990338072756,0.2726902706090854,6.096500000000001,0.0,252.490864580634,0.2896696161868344,0.2346090795994926,2.435892181894087,0.5409588485605032,7.256152977888751,8.437281485189057,1.6929265668059696
