Nutrient,Quantity,Unit
Calcium,1000,mg
Carbohydrate,351,g
Cholesterol,0,-
Energy,3119,kcal
Fat,69,g
Folate,400,mcg
Iron,8,mg
Magnesium,400,mg
Niacin,16,mg
Phosphorus,0.7,g
Potassium,3400,mg
Protein,73,g
Riboflavin,1.3,mg
Saturated fatty acids,0,-
Sodium,1500,mg
Thiamin,1.2,mg
Total Fiber,44,g
Trans fatty acids,0,-
Vitamin A,900,mcg
Vitamin B12,2.4,mcg
Vitamin B6,1.3,mg
Vitamin C,90,mg
Vitamin D,15,mcg
Vitamin E,15,mg
Vitamin K,120,mcg
Zinc,11,mg
